,City,Cloud Cover,Country,Date,Humidity,Latitude,Longitude,Highest Temperature,Wind Speed
0,Tiksi,99,RU,1570682229,90,71.64,128.87,23.22,6.68
1,Khatanga,23,RU,1570682230,81,71.98,102.47,18.45,11.65
2,Beringovskiy,0,RU,1570682231,62,63.05,179.32,33.39,8.89
3,Kununurra,56,AU,1570682233,6,-15.77,128.74,104.0,11.41
4,Cape Town,0,ZA,1570682234,62,-33.93,18.42,55.99,18.34
5,Saint George,20,GR,1570682236,100,39.45,22.34,55.4,4.7
6,Albany,90,US,1570682237,66,42.65,-73.75,52.0,4.7
7,Tasiilaq,89,GL,1570682238,80,65.61,-37.64,35.6,0.9
8,Rikitea,100,PF,1570682240,60,-23.12,-134.97,69.12,7.25
9,Nucet,89,RO,1570682241,82,46.49,22.56,49.32,2.52
10,Nantucket,90,US,1570682242,82,41.28,-70.1,57.99,31.09
11,Bethel,90,US,1570682243,93,60.79,-161.76,39.2,13.87
12,Ushuaia,90,AR,1570682245,69,-54.81,-68.31,35.6,14.99
13,Leningradskiy,14,RU,1570682246,72,69.38,178.42,26.11,14.59
14,Mahebourg,75,MU,1570682247,73,-20.41,57.7,71.6,12.75
15,Qaanaaq,100,GL,1570682249,88,77.48,-69.36,24.4,13.56
16,Hilo,1,US,1570682250,83,19.71,-155.08,78.8,5.82
17,Puerto Ayora,20,EC,1570682251,93,-0.74,-90.35,64.99,5.99
18,Hermanus,0,ZA,1570682253,65,-34.42,19.24,50.0,18.73
19,New Norfolk,75,AU,1570682254,76,-42.78,147.06,55.99,17.22
20,Hobart,75,AU,1570682255,76,-42.88,147.33,55.99,17.22
21,Busselton,5,AU,1570682257,40,-33.64,115.35,75.99,12.28
22,Zhigansk,100,RU,1570682258,80,66.77,123.37,21.85,16.98
23,Crotone,38,IT,1570682259,76,39.09,17.12,69.44,1.44
24,Tiznit,100,MA,1570682261,27,29.7,-9.73,70.86,6.0
25,Mataura,100,NZ,1570682262,94,-46.19,168.86,45.0,11.99
26,Luau,56,CD,1570682263,76,-10.7,22.23,71.98,2.1
27,Bathsheba,20,BB,1570682265,69,13.22,-59.52,82.4,14.99
28,Atuona,63,PF,1570682266,76,-9.8,-139.03,79.05,9.81
29,Hong Gai,40,VN,1570682267,70,20.96,107.09,86.0,4.7
30,Cabo San Lucas,0,MX,1570682269,65,22.89,-109.91,82.0,1.01
31,Wanaka,51,NZ,1570682270,90,-44.7,169.14,46.0,2.43
32,Ulaanbaatar,40,MN,1570682271,37,47.92,106.92,33.8,6.71
33,Thompson,40,CA,1570682273,73,55.74,-97.86,26.6,2.24
34,Hovd,47,NO,1570682274,80,63.83,10.7,43.0,13.87
35,Vardo,1,US,1570682275,93,39.62,-77.74,54.0,8.0
36,Barrow,0,AR,1570682276,57,-38.31,-60.23,49.77,11.07
37,Axim,64,GH,1570682278,94,4.87,-2.24,74.32,4.12
38,Mar del Plata,18,AR,1570682279,44,-46.43,-67.52,51.06,17.89
39,Tiarei,75,PF,1570682280,65,-17.53,-149.33,78.8,4.7
40,Thinadhoo,67,MV,1570682282,78,0.53,72.93,82.24,11.36
41,Lasa,20,CY,1570682283,72,34.92,32.53,66.2,10.29
42,Uyovu,98,TZ,1570682284,66,-3.28,31.53,71.58,3.86
43,Gornopravdinsk,100,RU,1570682285,80,60.06,69.92,53.58,6.21
44,Jaguaruana,0,BR,1570682287,93,-4.83,-37.78,67.53,2.46
45,Saskylakh,92,RU,1570682288,93,71.97,114.09,12.76,13.39
46,Arraial do Cabo,100,BR,1570682289,83,-22.97,-42.02,70.5,7.21
47,Kaa-Khem,93,RU,1570682290,43,51.7,94.56,46.26,4.58
48,Vaini,1,IN,1570682292,78,15.34,74.49,78.8,3.04
49,Bluff,25,AU,1570682293,33,-23.58,149.07,81.5,11.57
50,Dikson,55,RU,1570682294,86,73.51,80.55,29.07,25.8
51,Kodiak,90,US,1570682296,77,39.95,-94.76,63.0,6.93
52,Coquimbo,90,CL,1570682297,93,-29.95,-71.34,59.0,2.24
53,Bambous Virieux,75,MU,1570682298,73,-20.34,57.76,71.6,12.75
54,Kaitangata,100,NZ,1570682300,89,-46.28,169.85,46.0,21.0
55,Toktogul,3,KG,1570682301,98,41.87,72.95,48.0,3.65
56,Jalpa,40,MX,1570682302,55,21.63,-102.98,62.6,2.24
57,Narsaq,4,GL,1570682303,43,60.91,-46.05,32.0,2.24
58,Ishigaki,40,JP,1570682305,65,24.34,124.16,80.6,12.75
59,Bama,71,CN,1570682306,60,24.14,107.25,84.18,7.2
60,Punta Arenas,75,CL,1570682307,69,-53.16,-70.91,33.8,25.28
61,Lithgow,75,AU,1570682309,45,-33.48,150.16,69.01,13.87
62,Vincennes,75,FR,1570682310,87,48.85,2.44,53.01,6.93
63,Porbandar,5,IN,1570682311,62,21.64,69.61,87.8,3.85
64,Roswell,1,US,1570682313,48,33.39,-104.52,66.99,11.41
65,Olinda,90,AU,1570682314,62,-37.84,145.39,60.01,13.87
66,Batsfjord,75,NO,1570682315,86,70.63,29.72,39.2,17.22
67,Upernavik,43,GL,1570682317,49,72.79,-56.15,26.51,7.23
68,Acapulco,75,MX,1570682318,88,16.86,-99.88,80.6,4.7
69,Bredasdorp,23,ZA,1570682319,86,-34.53,20.04,37.4,4.73
70,Port Alfred,82,ZA,1570682321,96,-33.59,26.89,54.0,3.0
71,Rengo,100,CL,1570682322,83,-34.41,-70.86,54.41,2.53
72,Mitzic,91,GA,1570682323,96,0.78,11.55,68.83,0.62
73,Barra do Garcas,65,BR,1570682325,83,-15.89,-52.26,70.88,3.37
74,Dombarovskiy,100,RU,1570682326,62,50.76,59.54,46.29,15.92
75,Yulara,0,AU,1570682327,7,-25.24,130.99,89.6,9.17
76,Sioux Lookout,90,CA,1570682328,55,50.1,-91.92,62.6,8.05
77,Awjilah,84,LY,1570682330,18,29.14,21.3,84.58,8.22
78,Port Hardy,5,CA,1570682331,62,50.7,-127.42,33.8,4.7
79,Sao Filipe,11,CV,1570682332,82,14.9,-24.5,76.98,8.31
80,Zhaodong,51,CN,1570682333,47,46.07,125.99,62.01,11.18
81,Victoria,75,BN,1570682335,83,5.28,115.24,84.2,4.7
82,Salalah,20,OM,1570682336,74,17.01,54.1,82.4,7.15
83,Jamestown,47,AU,1570682337,22,-33.21,138.6,68.85,14.63
84,Georgetown,20,GY,1570682339,94,6.8,-58.16,77.0,4.7
85,Sainte-Anne-des-Monts,0,CA,1570682340,55,49.13,-66.49,39.87,3.3
86,Puerto Carreno,40,CO,1570682341,94,6.19,-67.49,77.0,3.43
87,Santa Isabel do Rio Negro,100,BR,1570682343,95,-0.41,-65.02,71.4,0.68
88,Fenoarivo Atsinanana,75,MG,1570682344,73,-17.38,49.41,77.0,4.7
89,Kavieng,3,PG,1570682345,66,-2.57,150.8,85.8,5.04
90,Akcakoca,0,TR,1570682347,67,41.09,31.12,63.45,2.33
91,Avarua,100,CK,1570682348,83,-21.21,-159.78,69.8,9.17
92,Inuvik,40,CA,1570682349,69,68.36,-133.71,33.8,8.05
93,Polunochnoye,91,RU,1570682351,66,60.87,60.43,38.79,8.15
94,Padang,73,ID,1570682352,86,-0.92,100.36,75.22,3.27
95,Castro,90,CL,1570682353,100,-42.48,-73.76,50.0,11.41
96,Tomelloso,0,ES,1570682355,66,39.16,-3.02,66.99,5.33
97,Vao,100,EE,1570682356,98,59.1,26.19,45.36,4.13
98,Northam,40,AU,1570682357,50,-31.65,116.67,75.2,13.87
99,East London,94,ZA,1570682359,93,-33.02,27.91,53.6,10.29
100,Polewali,18,ID,1570682360,37,-4.03,119.8,95.29,10.86
101,Bulgan,100,MN,1570682361,79,48.81,103.53,32.72,3.87
102,Souillac,89,FR,1570682363,93,45.6,-0.6,57.0,5.02
103,Ancud,90,CL,1570682364,100,-41.87,-73.83,50.0,11.41
104,Tessalit,40,ML,1570682365,29,20.2,1.01,82.06,3.44
105,Chauk,67,MM,1570682367,53,20.89,94.82,87.66,8.24
106,Evensk,100,RU,1570682368,88,61.92,159.24,26.83,14.07
107,Port Moresby,90,PG,1570682369,83,-9.47,147.16,82.4,23.04
108,Torbay,20,CA,1570682371,93,47.66,-52.73,42.01,9.17
109,Tuktoyaktuk,5,CA,1570682372,80,69.44,-133.03,32.0,10.29
110,Cayenne,28,GF,1570682373,88,4.94,-52.33,75.2,5.8
111,Mount Gambier,90,AU,1570682374,71,-37.83,140.78,55.4,8.05
112,Tazovskiy,100,RU,1570682376,69,67.47,78.7,35.28,25.51
113,Pundaguitan,100,PH,1570682377,71,6.37,126.17,83.41,5.54
114,Hays,1,US,1570682379,82,38.88,-99.33,69.01,18.34
115,Butaritari,87,KI,1570682380,69,3.07,172.79,84.9,13.04
116,Kahului,40,US,1570682381,74,20.89,-156.47,82.4,14.99
117,Camacupa,100,AO,1570682382,74,-12.02,17.48,66.33,1.4
118,Fleetwood,1,CA,1570682384,52,49.16,-122.8,43.0,6.54
119,Nabire,86,ID,1570682385,80,-3.36,135.5,80.38,0.4
120,Nome,1,US,1570682386,88,30.04,-94.42,81.0,6.16
121,Port-Gentil,100,GA,1570682388,82,-0.72,8.78,78.8,7.32
122,Corinto,40,CO,1570682389,88,3.17,-76.26,69.8,8.05
123,Port Lincoln,96,AU,1570682391,65,-34.72,135.86,58.51,11.26
124,Comodoro Rivadavia,2,AR,1570682392,34,-45.87,-67.48,53.6,27.51
125,Lagoa,0,PT,1570682394,59,37.14,-8.45,64.4,2.24
126,Bereda,0,ES,1570682395,100,43.27,-7.54,54.0,3.36
127,Hithadhoo,67,MV,1570682397,79,-0.6,73.08,81.63,16.03
128,Pevek,100,RU,1570682398,85,69.7,170.27,24.96,11.83
129,Nemuro,20,JP,1570682399,52,43.32,145.57,64.4,5.82
130,Cairns,20,AU,1570682401,72,-16.92,145.77,89.01,11.41
131,Te Anau,100,NZ,1570682402,95,-45.41,167.72,43.74,12.12
132,Gaoua,97,BF,1570682404,94,10.33,-3.18,72.7,4.07
133,Aykhal,90,RU,1570682405,73,65.95,111.51,19.4,15.66
134,Ponta do Sol,98,BR,1570682406,95,-20.63,-46.0,64.98,4.4
135,San Carlos de Bariloche,40,AR,1570682407,76,-41.13,-71.31,48.2,12.75
136,Yasnogorsk,90,RU,1570682409,92,54.48,37.69,42.91,12.83
137,Henties Bay,0,NA,1570682410,71,-22.12,14.28,58.46,6.19
138,Talant,90,FR,1570682411,87,47.34,5.0,53.6,10.29
139,Sabang,83,PH,1570682413,65,13.8,121.11,86.2,3.06
140,Antalaha,16,MG,1570682414,77,-14.9,50.28,76.93,14.9
141,Oirschot,75,NL,1570682415,93,51.5,5.32,51.01,9.17
142,Alamosa,1,US,1570682416,34,37.47,-105.87,50.0,9.17
143,Staryy Nadym,100,RU,1570682418,83,65.61,72.68,42.48,27.74
144,Kaputa,96,ZM,1570682419,45,-8.47,29.66,79.09,4.8
145,Lebu,61,ET,1570682420,78,8.96,38.73,57.61,3.92
146,Redmond,1,US,1570682422,56,47.67,-122.12,44.01,8.05
147,San-Pedro,100,CI,1570682423,88,4.75,-6.64,76.78,15.67
148,Sungaipenuh,48,ID,1570682424,45,-2.08,101.38,80.4,4.68
149,Praia da Vitoria,75,PT,1570682426,82,38.73,-27.07,62.6,3.93
150,Carutapera,17,BR,1570682427,80,-1.2,-46.02,79.81,19.44
151,Ugoofaaru,89,MV,1570682429,74,5.67,73.0,83.03,9.94
152,Valdivia,96,CL,1570682430,100,-39.81,-73.25,46.4,0.61
153,Trairi,17,BR,1570682431,87,-3.28,-39.27,71.47,5.22
154,Katsuura,40,JP,1570682433,53,33.93,134.5,81.0,10.29
155,Saldanha,0,PT,1570682434,78,41.42,-6.55,49.46,6.85
156,Port Macquarie,90,AU,1570682435,87,-31.43,152.91,66.99,6.93
157,Saint-Philippe,90,CA,1570682437,87,45.36,-73.48,51.01,6.93
158,Waterloo,77,SL,1570682438,96,8.34,-13.07,71.47,0.63
159,Ushtobe,0,KZ,1570682439,23,45.25,77.98,72.54,2.27
160,Yebaishou,67,CN,1570682440,34,41.4,119.64,63.66,11.12
161,Encruzilhada,100,BR,1570682442,88,-15.53,-40.91,64.87,8.53
162,Yellowknife,90,CA,1570682443,59,62.45,-114.38,35.6,10.29
163,Mujiayingzi,46,CN,1570682445,40,42.12,118.78,57.61,10.64
164,Aksu,13,KZ,1570682446,58,52.04,76.93,55.4,8.95
165,Caravelas,81,BR,1570682447,92,-17.73,-39.27,69.1,5.49
166,Fare,95,PF,1570682449,81,-16.7,-151.02,76.17,17.86
167,Nalut,0,LY,1570682450,82,31.86,10.98,66.56,5.87
168,Sao Joao da Barra,100,BR,1570682451,90,-21.64,-41.05,73.18,6.1
169,Barmer,0,IN,1570682453,26,25.74,71.4,91.54,2.72
170,Inta,100,RU,1570682454,98,66.04,60.13,32.56,7.95
171,Lavrentiya,51,RU,1570682456,74,65.58,-170.99,32.13,12.48
172,Cidreira,0,BR,1570682457,92,-30.17,-50.22,66.74,17.39
173,New Amsterdam,58,GY,1570682458,99,6.25,-57.52,74.26,2.13
174,Mazyr,91,BY,1570682460,81,52.05,29.27,47.57,13.8
175,Alofi,30,NU,1570682461,78,-19.06,-169.92,78.8,10.29
176,Fortuna,1,US,1570682462,76,40.6,-124.16,48.2,6.93
177,Talpa,5,MX,1570682463,31,28.83,-111.63,77.0,4.7
178,San Cristobal,52,HN,1570682465,95,14.68,-86.92,65.84,3.31
179,Ribeira Grande,85,PT,1570682466,74,38.52,-28.7,62.13,6.16
180,Jijiga,86,ET,1570682467,69,9.35,42.8,67.19,10.59
181,Sept-Iles,5,CA,1570682469,92,50.2,-66.38,35.01,3.36
182,Nelson,34,CA,1570682470,77,49.49,-117.29,20.39,2.39
183,Carnarvon,0,ZA,1570682472,47,-30.97,22.13,45.32,19.97
184,Egvekinot,1,RU,1570682473,67,66.32,-179.17,13.98,1.72
185,Along,21,IN,1570682474,95,28.17,94.8,71.55,4.04
186,Wakema,3,MM,1570682479,60,16.6,95.18,89.29,5.19
187,Banda Aceh,99,ID,1570682480,77,5.56,95.32,79.65,3.88
188,Anadyr,0,RU,1570682481,68,64.73,177.51,28.4,6.71
189,Nha Trang,20,VN,1570682483,55,12.24,109.19,91.4,9.17
190,Menongue,44,AO,1570682484,75,-14.66,17.68,65.32,8.05
191,Kapaa,75,US,1570682485,78,22.08,-159.32,82.4,10.29
192,Tuatapere,100,NZ,1570682487,94,-46.13,167.69,45.0,11.01
193,Obanazawa,40,JP,1570682488,49,38.6,140.43,71.6,2.24
194,Milkovo,0,BG,1570682490,93,41.53,24.68,57.99,2.24
195,Fonte Boa,100,BR,1570682491,99,-2.51,-66.09,72.16,2.45
196,Mossendjo,100,CG,1570682492,98,-2.95,12.72,70.75,2.13
197,Krasnoturansk,0,RU,1570682493,52,54.32,91.57,44.6,8.95
198,Aklavik,40,CA,1570682495,69,68.22,-135.01,33.8,8.05
199,Pangkalanbuun,69,ID,1570682497,60,-2.68,111.62,86.67,5.83
200,Lorengau,19,PG,1570682498,69,-2.02,147.27,84.49,1.98
201,Hambantota,90,LK,1570682499,100,6.12,81.12,77.0,2.24
202,Butembo,82,CD,1570682500,90,0.12,29.29,66.15,3.55
203,Alice Springs,0,AU,1570682502,7,-23.7,133.88,82.4,10.29
204,Sivas,0,TR,1570682503,87,39.75,37.01,44.6,4.7
205,Esperance,0,AU,1570682504,51,-33.86,121.89,80.6,13.87
206,Airai,55,TL,1570682506,40,-8.93,125.41,82.15,9.59
207,Jalu,84,LY,1570682507,18,29.03,21.55,84.58,8.22
208,Srednekolymsk,96,RU,1570682508,81,67.46,153.71,16.66,8.89
209,Kirkkonummi,75,FI,1570682509,100,60.12,24.44,41.0,4.7
210,Ratnagiri,43,IN,1570682511,66,16.98,73.3,88.38,1.26
211,Luderitz,2,NA,1570682512,54,-26.65,15.16,55.4,10.29
212,Port Elizabeth,90,US,1570682513,81,39.31,-74.98,57.0,10.29
213,Manbij,0,SY,1570682515,33,36.53,37.96,51.8,2.24
214,Taoudenni,0,ML,1570682516,24,22.68,-3.98,73.45,9.01
215,Harper,40,US,1570682518,78,30.3,-99.24,78.8,12.75
216,Makakilo City,1,US,1570682519,78,21.35,-158.09,84.2,3.36
217,Yairipok,75,IN,1570682521,83,24.67,94.07,75.2,5.82
218,Juatuba,40,BR,1570682522,73,-19.95,-44.34,69.8,10.29
219,Bouna,87,CI,1570682523,96,9.27,-3.0,72.14,4.58
220,Poum,20,MK,1570682525,93,41.28,20.71,46.4,4.7
221,Shelburne,5,CA,1570682526,66,44.08,-80.2,55.4,8.05
222,Uttaradit,20,TH,1570682527,70,17.63,100.1,95.0,3.36
223,Guerrero Negro,0,MX,1570682528,88,27.97,-114.04,65.68,11.23
224,Portland,1,US,1570682530,66,43.66,-70.25,52.0,6.93
225,Chuy,100,UY,1570682531,79,-33.69,-53.46,61.81,6.89
226,Nikolskoye,90,RU,1570682532,93,59.7,30.79,41.0,4.47
227,Severo-Kurilsk,99,RU,1570682533,92,50.68,156.12,42.24,40.54
228,Patiya,90,BD,1570682535,94,22.3,91.98,77.0,2.24
229,Guiratinga,81,BR,1570682536,71,-16.35,-53.76,74.68,3.19
230,Abbeville,8,FR,1570682537,93,50.11,1.83,51.01,12.75
231,Mombaca,34,BR,1570682539,76,-5.74,-39.63,72.95,5.71
232,Namibe,92,AO,1570682540,87,-15.19,12.15,67.5,5.93
233,Kualakapuas,40,ID,1570682541,52,-3.01,114.39,91.4,5.82
234,Ola,100,RU,1570682542,96,59.58,151.3,35.38,20.62
235,Hokitika,100,NZ,1570682544,94,-42.72,170.96,55.47,14.44
236,Constitucion,10,MX,1570682545,68,23.99,-104.67,62.82,6.28
237,Biak,81,ID,1570682546,81,-0.91,122.88,80.47,18.73
238,Chioggia,20,IT,1570682548,93,45.22,12.28,57.99,3.36
239,Dwarka,0,IN,1570682549,51,28.58,77.04,84.99,3.36
240,Nagato,20,JP,1570682550,57,34.35,131.14,75.2,9.17
241,Chokurdakh,4,RU,1570682552,84,70.62,147.9,7.75,4.11
242,Amapa,75,HN,1570682553,83,15.09,-87.97,78.8,9.17
243,Pemberton,14,AU,1570682554,44,-34.44,116.03,75.0,7.0
244,Monte Alto,91,BR,1570682556,78,-21.27,-48.5,68.41,10.84
245,Sorland,61,NO,1570682558,86,67.67,12.69,30.2,4.7
246,Sarai,40,IN,1570682560,70,25.78,85.28,84.2,3.56
247,Tashtyp,87,RU,1570682561,49,52.8,89.89,43.61,10.93
248,Aswan,0,EG,1570682562,22,24.09,32.9,89.69,10.0
249,Cockburn Town,38,TC,1570682563,79,21.46,-71.14,82.38,13.11
250,Kenosha,1,US,1570682565,72,42.58,-87.82,63.0,9.17
251,Gulabpura,0,IN,1570682566,25,25.91,74.66,87.15,2.87
252,San Patricio,0,PY,1570682567,72,-26.98,-56.83,66.13,5.75
253,Alassio,5,IT,1570682569,67,44.0,8.17,60.8,5.82
254,Kavaratti,20,IN,1570682570,79,10.57,72.64,86.0,3.09
255,Ilulissat,19,GL,1570682571,50,69.22,-51.1,28.4,12.75
256,Hurricane,1,US,1570682573,28,37.18,-113.29,62.6,18.34
257,Nizwa,0,OM,1570682574,31,22.93,57.53,83.61,2.81
258,Savannah Bight,100,HN,1570682575,78,16.45,-85.85,84.67,17.58
259,Myitkyina,22,MM,1570682577,43,25.38,97.4,91.33,1.9
260,Whitianga,100,NZ,1570682578,86,-36.83,175.7,64.0,8.01
261,Quang Ngai,0,VN,1570682579,78,15.12,108.8,81.59,10.42
262,Ararat,0,AM,1570682580,67,39.85,44.7,57.2,2.61
263,Petropavl,40,KZ,1570682582,71,54.87,69.13,50.0,4.66
264,Lagos,20,NG,1570682583,100,6.46,3.39,77.0,10.36
265,Antsohihy,0,MG,1570682584,37,-14.88,47.99,89.42,8.48
266,Mbekenyera,35,TZ,1570682586,62,-10.0,38.98,80.22,8.53
267,Lethem,84,GY,1570682587,81,3.38,-59.8,78.48,3.79
268,Lompoc,1,US,1570682588,87,34.64,-120.46,57.99,4.7
269,Dickinson,90,US,1570682590,92,46.88,-102.79,27.0,18.34
270,Iqaluit,75,CA,1570682591,86,63.75,-68.52,37.4,16.11
271,Baykit,0,RU,1570682592,46,61.68,96.39,29.52,3.17
272,Nyurba,100,RU,1570682594,85,63.29,118.35,22.98,11.39
273,Sozimskiy,14,RU,1570682595,79,59.74,52.25,35.76,6.75
274,Baruun-Urt,0,MN,1570682596,20,46.68,113.28,40.68,8.86
275,Hofn,82,IS,1570682597,63,64.25,-15.21,45.28,21.79
